name,URL,text,image_num,circle_position
name,URL,text,image_num,circle_position
ねこ☆ぱんC99 1日目 東ク-46bサンクリ2022WINTER Ａ04a,https://twitter.com/nekopan00P/status/1473935036647079939,C99お品書き #ご注文はうさぎですか? #冬コミ #C99 #お品書き https://t.co/UxQiQKLvUL https://t.co/ZfEbUDVRqP,C:/Users/kinok/Documents/C99/ねこ☆ぱんC99 1日目 東ク-46bサンクリ2022WINTER Ａ04a/oshinagaki5-1.jpg,Not Found
飴玉コンC99木曜日東A13a,https://twitter.com/amedamacon/status/1461971838091685892,"コミティア138 お品書き
【の32b あめうさぎ】

新作は無料ペーパーと
イーゼル付きミニキャンバスアート✨

初参加です！
よろしくお願いします🐰 https://t.co/cu8xBYeDzW",C:/Users/kinok/Documents/C99/飴玉コンC99木曜日東A13a/oshinagaki17-1.jpg,Not Found
あるか@冬コミ1日目　南１り‐21b,https://twitter.com/alka_p1/status/1475098806790549506,"冬コミお品書きです！
新刊は委託もしているので会場に来れない方はぜひ！

メロンさん：https://t.co/nyZynfgjqr
虎さん：https://t.co/GG8g2jkLqL https://t.co/Ssh894c4T3",C:/Users/kinok/Documents/C99/あるか@冬コミ1日目　南１り‐21b/oshinagaki24-1.jpg,1日目南り21b
月路1日目 南り-21a,https://twitter.com/AngelBless_TW/status/1474961838865776640,"冬コミのお品書きです。
30日 南り-21a でお待ちしています。 https://t.co/s9W9it9NFL",C:/Users/kinok/Documents/C99/月路1日目 南り-21a/oshinagaki25-1.jpg,3日目南り21a
にょにょんば太郎@冬コミ１日目「南り-23a」,https://twitter.com/nyonyonba/status/1475049402368929798,"セットおしながき２
#C99 #お品書き #艦隊これくしょん https://t.co/cZaFpAyP5g",C:/Users/kinok/Documents/C99/にょにょんば太郎@冬コミ１日目「南り-23a」/oshinagaki33-1.jpg,1日目南り23a
ふぇありぃあい【1日目（木）東ク45ｂ】,https://twitter.com/koudasuzu/status/1474686004120281089,"C99おしながきですー(*'▽')
【12/30（1日目）】【東ク45ｂ】
チノちゃんとかうちの娘とか色々です！何卒よろしくお願いいたしますー！ https://t.co/MLeMogZPmf",C:/Users/kinok/Documents/C99/ふぇありぃあい【1日目（木）東ク45ｂ】/oshinagaki36-1.jpg,Not Found
name,URL,text,image_num,circle_position
わきねりも＠１日目A17ab,https://twitter.com/wakikamaboko/status/1475738290326319107,"ＣＯＭＩＣＭＡＲＫＥＴ９９
１日目東A17a〖fluffy×fluffy〗お品書きです！🐰 https://t.co/zGjJYu4ZsC",C:/Users/kinok/Documents/C99/わきねりも＠１日目A17ab/oshinagaki2-1.jpg,Not Found
ねこ☆ぱんC99 1日目 東ク-46bサンクリ2022WINTER Ａ04a,https://twitter.com/nekopan00P/status/1473935036647079939,C99お品書き #ご注文はうさぎですか? #冬コミ #C99 #お品書き https://t.co/UxQiQKLvUL https://t.co/ZfEbUDVRqP,C:/Users/kinok/Documents/C99/ねこ☆ぱんC99 1日目 東ク-46bサンクリ2022WINTER Ａ04a/oshinagaki5-1.jpg,Not Found
りかたん☆冬コミ1日目A-14ab,https://twitter.com/rikatantan2nd/status/1475777411447160836,冬コミお品書き出来ました！1日目A-14ab　CARAMEL CRUNCH!です！新刊グッズセット、抱き枕カバーや新作グッズ作ったので宜しくお願いします😊 https://t.co/YbXECXEwch,C:/Users/kinok/Documents/C99/りかたん☆冬コミ1日目A-14ab/oshinagaki6-1.jpg,Not Found
ふわふわ響＠C99木南り18b,https://twitter.com/huwahuwahibiki/status/1475447232946409477,"C99、1日目のお品書きです
たぶんミスとかがなければこれでいこうと思いますので、
よろしくお願いします https://t.co/SxxUFniLBU",C:/Users/kinok/Documents/C99/ふわふわ響＠C99木南り18b/oshinagaki15-1.jpg,9日目南り18b
飴玉コンC99木曜日東A13a,https://twitter.com/amedamacon/status/1475754010745634818,"❄️12/30(木)コミックマーケット99
【A-13a】あめうさぎ
お品書き

新刊セット、新作グッズ作りました！
ごちうさ&amp;オリジナル

よろしくお願いします🌸　#C99 https://t.co/wwWqGHrnzN",C:/Users/kinok/Documents/C99/飴玉コンC99木曜日東A13a/oshinagaki17-1.jpg,Not Found
あるか@冬コミ1日目　南１り‐21b,https://twitter.com/alka_p1/status/1475098806790549506,"冬コミお品書きです！
新刊は委託もしているので会場に来れない方はぜひ！

メロンさん：https://t.co/nyZynfgjqr
虎さん：https://t.co/GG8g2jkLqL https://t.co/Ssh894c4T3",C:/Users/kinok/Documents/C99/あるか@冬コミ1日目　南１り‐21b/oshinagaki24-1.jpg,1日目南り21b
月路1日目 南り-21a,https://twitter.com/AngelBless_TW/status/1474961838865776640,"冬コミのお品書きです。
30日 南り-21a でお待ちしています。 https://t.co/s9W9it9NFL",C:/Users/kinok/Documents/C99/月路1日目 南り-21a/oshinagaki25-1.jpg,3日目南り21a
にょにょんば太郎@冬コミ１日目「南り-23a」,https://twitter.com/nyonyonba/status/1475049402368929798,"セットおしながき２
#C99 #お品書き #艦隊これくしょん https://t.co/cZaFpAyP5g",C:/Users/kinok/Documents/C99/にょにょんば太郎@冬コミ１日目「南り-23a」/oshinagaki33-1.jpg,1日目南り23a
ふぇありぃあい【1日目（木）東ク45ｂ】,https://twitter.com/koudasuzu/status/1474686004120281089,"C99おしながきですー(*'▽')
【12/30（1日目）】【東ク45ｂ】
チノちゃんとかうちの娘とか色々です！何卒よろしくお願いいたしますー！ https://t.co/MLeMogZPmf",C:/Users/kinok/Documents/C99/ふぇありぃあい【1日目（木）東ク45ｂ】/oshinagaki36-1.jpg,Not Found
Azel@1日目東ノ-21b,https://twitter.com/laevateinn495/status/1475467927579394057,"遅くなりましたがC99のおしながきです！

イラスト集／相対性理論本の新刊2冊に加え、既刊の艦これ数学本も多少持っていきます。
当日来られる方はよろしくお願いします！ https://t.co/F1A2yrZZVC",C:/Users/kinok/Documents/C99/Azel@1日目東ノ-21b/oshinagaki37-1.jpg,Not Found
シロガネヒナC991日目る39b,https://twitter.com/milky175/status/1475025952141099009,"【C99 冬コミ】12/30 1日目 南る―39b【MILK BAR】お品書きです！

今回は混雑回避のために、新刊はセット頒布のみでスタートします。
どうぞよろしくお願いします🌟 https://t.co/Gi2xbzo6U0",C:/Users/kinok/Documents/C99/シロガネヒナC991日目る39b/oshinagaki47-1.jpg,Not Found
とぱぞらい@金曜日南る45b,https://twitter.com/tpazolite/status/1475404981327261697,"【お知らせ】
コミケのお品書き、こちらになります。
お品書き内にも書いてありますが、全作品オンラインで入手可能なのでそちらもご利用ください…！ https://t.co/7kBmOkqgDH",C:/Users/kinok/Documents/C99/とぱぞらい@金曜日南る45b/oshinagaki49-1.jpg,error日目南る45b
